40
0.00	0.37	0.83	0.05	1.18	0.12	1.19	1.21	0.85	1.29	0.10	0.35	0.04	0.16	0.85	0.89	0.43	1.14	0.37	0.36	1.19	0.87	0.17	0.84	1.27	0.82	0.90	0.39	0.87	0.02	0.13	1.17	1.25	0.83	0.08	0.35	0.40	1.24	0.31	0.35
0.37	0.00	0.69	0.36	1.03	0.35	1.04	1.07	0.68	1.14	0.37	0.27	0.37	0.37	0.68	0.73	0.37	0.91	0.19	0.25	1.05	0.70	0.38	0.66	1.12	0.65	0.76	0.21	0.74	0.38	0.36	1.01	1.11	0.69	0.39	0.26	0.30	1.08	0.21	0.25
0.83	0.69	0.00	0.86	0.38	0.83	0.38	0.41	0.08	0.49	0.86	0.51	0.85	0.88	0.09	0.28	0.42	0.41	0.54	0.50	0.39	0.29	0.83	0.08	0.47	0.13	0.14	0.51	0.08	0.85	0.85	0.37	0.45	0.03	0.87	0.51	0.49	0.45	0.56	0.51
0.05	0.36	0.86	0.00	1.21	0.09	1.23	1.24	0.88	1.32	0.06	0.37	0.03	0.12	0.87	0.91	0.46	1.16	0.38	0.38	1.22	0.89	0.16	0.87	1.29	0.85	0.93	0.41	0.90	0.04	0.10	1.20	1.28	0.86	0.05	0.38	0.41	1.27	0.33	0.37
1.18	1.03	0.38	1.21	0.00	1.17	0.14	0.07	0.37	0.14	1.20	0.86	1.20	1.21	0.37	0.36	0.78	0.29	0.89	0.86	0.04	0.45	1.15	0.40	0.12	0.41	0.33	0.87	0.36	1.20	1.18	0.07	0.13	0.39	1.22	0.86	0.84	0.15	0.91	0.85
0.12	0.35	0.83	0.09	1.17	0.00	1.20	1.20	0.84	1.28	0.04	0.34	0.09	0.06	0.84	0.87	0.44	1.12	0.36	0.36	1.19	0.84	0.13	0.84	1.25	0.81	0.89	0.40	0.87	0.11	0.02	1.17	1.24	0.83	0.07	0.35	0.37	1.22	0.29	0.34
1.19	1.04	0.38	1.23	0.14	1.20	0.00	0.12	0.39	0.23	1.22	0.89	1.22	1.24	0.40	0.41	0.79	0.33	0.91	0.87	0.12	0.53	1.18	0.40	0.23	0.44	0.37	0.87	0.38	1.21	1.21	0.14	0.24	0.39	1.24	0.88	0.87	0.27	0.93	0.87
1.21	1.07	0.41	1.24	0.07	1.20	0.12	0.00	0.41	0.15	1.23	0.90	1.23	1.24	0.41	0.40	0.81	0.35	0.93	0.89	0.03	0.50	1.18	0.44	0.14	0.45	0.37	0.90	0.38	1.22	1.22	0.12	0.13	0.42	1.24	0.90	0.88	0.20	0.94	0.89
0.85	0.68	0.08	0.88	0.37	0.84	0.39	0.41	0.00	0.47	0.87	0.52	0.87	0.88	0.02	0.25	0.44	0.35	0.53	0.51	0.38	0.22	0.84	0.08	0.45	0.06	0.11	0.51	0.12	0.87	0.86	0.35	0.44	0.11	0.89	0.51	0.49	0.42	0.56	0.51
1.29	1.14	0.49	1.32	0.14	1.28	0.23	0.15	0.47	0.00	1.30	0.97	1.31	1.31	0.47	0.47	0.88	0.34	0.99	0.96	0.14	0.51	1.26	0.51	0.02	0.50	0.41	0.97	0.45	1.31	1.29	0.16	0.07	0.51	1.32	0.97	0.94	0.09	1.01	0.96
0.10	0.37	0.86	0.06	1.20	0.04	1.22	1.23	0.87	1.30	0.00	0.36	0.06	0.06	0.86	0.90	0.45	1.15	0.37	0.38	1.21	0.86	0.15	0.86	1.28	0.84	0.92	0.41	0.89	0.09	0.04	1.19	1.26	0.85	0.04	0.37	0.39	1.25	0.32	0.36
0.35	0.27	0.51	0.37	0.86	0.34	0.89	0.90	0.52	0.97	0.36	0.00	0.36	0.38	0.51	0.60	0.13	0.81	0.09	0.06	0.88	0.53	0.37	0.51	0.95	0.48	0.57	0.12	0.54	0.37	0.35	0.85	0.93	0.51	0.38	0.03	0.07	0.92	0.08	0.05
0.04	0.37	0.85	0.03	1.20	0.09	1.22	1.23	0.87	1.31	0.06	0.36	0.00	0.12	0.86	0.91	0.45	1.15	0.38	0.38	1.21	0.88	0.16	0.86	1.28	0.84	0.92	0.41	0.89	0.03	0.10	1.19	1.27	0.85	0.04	0.37	0.41	1.26	0.32	0.37
0.16	0.37	0.88	0.12	1.21	0.06	1.24	1.24	0.88	1.31	0.06	0.38	0.12	0.00	0.87	0.91	0.48	1.16	0.39	0.41	1.23	0.86	0.17	0.88	1.29	0.85	0.93	0.44	0.91	0.15	0.04	1.21	1.27	0.88	0.10	0.39	0.40	1.26	0.33	0.38
0.85	0.68	0.09	0.87	0.37	0.84	0.40	0.41	0.02	0.47	0.86	0.51	0.86	0.87	0.00	0.26	0.43	0.36	0.53	0.51	0.39	0.20	0.84	0.10	0.45	0.05	0.09	0.51	0.11	0.86	0.85	0.36	0.44	0.12	0.88	0.51	0.48	0.42	0.56	0.51
0.89	0.73	0.28	0.91	0.36	0.87	0.41	0.40	0.25	0.47	0.90	0.60	0.91	0.91	0.26	0.00	0.54	0.31	0.61	0.58	0.39	0.33	0.84	0.30	0.45	0.27	0.31	0.59	0.32	0.91	0.89	0.34	0.46	0.30	0.92	0.60	0.58	0.43	0.62	0.57
